Robot's model,Number in group,weight,payload,reach,A factor,Repeatability,B factor,avg,DOF,type,ang1,ang2,ang3,ang4,ang5,ang6,ang7
IRB 7600-340/2.80,90,2425,340,2800,392.6,0.27,1454,93,6,IR,75,60,60,100,100,160,
IRB 7600-325/3.10,91,2440,325,3100,412.9,0.1,4129.1,90,6,IR,75,50,55,100,100,160,
IRB 7600-150/3.50,92,2450,150,3500,214.3,0.19,1127.8,102,6,IR,100,60,60,100,100,190,
IRB 8700-800/3.50,93,4525,800,3500,618.8,0.05,12375.7,80,6,IR,75,60,60,85,85,115,
IRB 8700-550/4.20,94,4575,550,4200,504.9,0.08,6311.5,80,6,IR,75,60,60,85,85,115,
CRB 1300- 11/0.9,95,75,11,900,132,0.02,6600,408,6,cobot,280,228,300,500,420,720,
CRB 1300-10/1.15,96,77,10,1150,149.4,0.023,6493.5,407,6,cobot,240,228,336,500,420,720,
CRB 1300-7/1.4,97,79,7,1400,124.1,0.03,4135,386,6,cobot,249,180,247,500,420,720,
GoFa 5,98,28,5,1050,187.5,0.02,9375,165,6,cobot,125,125,140,200,200,200,
GoFa 12,99,48,12,1370,342.5,0.02,17125,161,6,cobot,120,120,125,200,200,200,
GoFa 10,100,51,10,1620,317.6,0.02,15882.4,161,6,cobot,120,120,125,200,200,200,
IRB 14000-0.5/0.5,101,38,0.5,559,7.4,0.02,367.8,274,14,cobot,180,180,180,180,400,400,400
IRB 14050,102,9.5,0.5,559,29.4,0.02,1471.1,274,7,cobot,180,180,180,400,400,400,180
IRB 52/1.2,103,250,7,475,13.3,0.15,88.7,287,6,IR,180,180,180,320,400,460,
IRB 52/1.45,104,250,7,700,19.6,0.15,130.7,287,6,IR,180,180,180,320,400,460,
IRB 5500-25,105,600,13,2975,64.5,0.15,429.7,0,6,IR,,,,,,,
