Robot's model,Number in group,weight,payload,reach,A factor,Repeatability,B factor,avg,DOF,type
KR 1000 titan F,135,4700,1000,3202,681.3,0.1,6812.8,58,6,IR
KR 1000 1300 titan PA,136,4690,1300,3202,887.5,0.1,8875.5,58,5,IR
KR 1000 1300 titan PA-F,137,4690,1300,3202,887.5,0.1,8875.5,58,5,IR
LBR iisy 6 R1300,138,46.3,6.9,1300,193.7,0.05,3874.7,253.3,6,cobot
AGILUS KR 6 R900-2 HO,139,55,6.7,901,109.8,0.02,5487.9,410,6,IR
AGILUS KR 10 R1100-2 HO,140,55,11.1,1101,222.2,0.02,11110.1,334.7,6,IR
CYBERTECH nano KR 10 R1440-2 HO,141,153,14.3,1440,134.6,0.04,3364.7,310.67,6,IR
IONTEC KR 30 R2100 CR lite,142,533,36,2101,141.9,0.05,2838.1,230.8,6,IR
IONTEC KR 50 R2100 CR lite,143,533,61,2101,240.5,0.05,4809,231.7,6,IR
IONTEC KR 50 R2500 CR lite,144,559,61,2501,272.9,0.05,5458.4,228,6,IR
IONTEC KR 70 R2100 CR lite,145,536,85,2101,333.2,0.05,6663.6,213,6,IR
IONTEC KR 70 R2100 HO,146,536,85,2101,333.2,0.05,6663.6,213,6,IR
KR 1000 L950 titan PA,147,4740,950,3601,721.7,0.1,7217.2,58,6,IR
FORTEC ultra KR 480 R3400-2,148,2170,591,3400,926,0.08,11574.9,94.2,6,IR
FORTEC ultra KR 480 R3700-2,149,2460,580,3700,872.4,0.08,10904.5,86.7,6,IR
FORTEC ultra KR 560 R3100-2,150,2170,681,3100,972.9,0.08,12160.7,92.5,6,IR
FORTEC ultra KR 560 R3100-2 HI,151,2170,681,3100,972.9,0.08,12160.7,81.7,6,IR
FORTEC ultra KR 640 R2800-2 HI,152,2130,835,2800,1097.7,0.08,13720.7,81.7,6,IR
KR 300-2 PA,153,2150,300,3150,439.5,0.08,5494.2,113.6,5,IR
QUANTEC PA KR 140 R3200-2 PA-HO,154,1017,180,3195,565.5,0.07,8078.4,182.6,5,IR
QUANTEC PA KR 180 R3200-2 PA-HO,155,1017,230,3195,722.6,0.07,10322.4,182.6,5,IR
QUANTEC PA KR 240 R3200-2 PA-HO,156,1017,292,3195,917.3,0.07,13104.9,182.6,5,IR
QUANTEC KR 120 R2700-2 HO,157,1069,167,2701,422,0.05,8439,164.2,6,IR
QUANTEC KR 120 R3500-2 P,159,1281,180,3505,492.5,0.05,9850.1,138.5,6,IR
QUANTEC KR 120 R3500-2 P-C,160,1283,180,3505,491.7,0.05,9834.8,138.5,6,IR
QUANTEC KR 150 R3100-2 HO,161,1105,220,3100,617.2,0.05,12343.9,159.3,6,IR
QUANTEC KR 180 R3500-2 K-F,162,1256,228,3505,636.3,0.05,12725.2,151,6,IR
QUANTEC KR 210 R3300-2 K-F,164,1266,273,3305,712.7,0.05,14253.8,135.8,6,IR
QUANTEC KR 240 R2900-2 HO,165,1120,319,2900,826,0.05,16519.6,133.7,6,IR
QUANTEC KR 270 R3100-2 K-F,167,1260,344,3105,847.7,0.05,16954.3,124.8,6,IR
QUANTEC KR 300 R2700-2 C,168,1105,366,2671,884.7,0.05,17693.9,124.3,6,IR
QUANTEC KR 300 R2700-2 HC,170,1150,343,2701,805.6,0.05,16112.1,123.2,6,IR
