Robot's model,Number in group,weight,payload,reach,A factor,Repeatability,B factor,avg,DOF,type,ang1,ang2,ang3,ang4,ang5,ang6,ang7
UR3e,1,11.2,3,500,133.9,0.03,4464.3,270,6,cobot,180,180,180,360,360,360,
UR5e,2,20.6,5,850,206.3,0.03,6877,180,6,cobot,180,180,180,180,180,180,
UR10e,3,33.5,12.5,1300,485.1,0.05,9701.5,180,6,cobot,180,180,180,180,180,180,
UR16e,4,33.1,16,900,435,0.05,8700.9,160,6,cobot,120,120,180,180,180,180,
UR20,5,64,20,1750,546.9,0.05,10937.5,170,6,cobot,120,120,150,210,210,210,
